site_id,site_name,latitude,longitude
W2732,GF,22.079900,39.122600
W6039,IBS,21.669474,39.121730
W3198,GF,22.116200,39.417100
W2725,GF,22.786200,42.339700
W4831,GF,19.528163,41.896637
W4880,GF,20.074000,41.453400
W5959,GF,21.422505,39.858592
W2009,RT,21.531627,39.172645
W2489,RT,21.562518,39.195830
W2877,RT,21.607540,39.185850
W3388,RT,21.385831,39.832365
W4478,RT,21.517380,39.782590
W3629,GF,21.499327,39.819885
W5387,GF,21.157100,40.588800
W5958,GF,21.414557,39.862645
W2686,GF,21.420642,39.850283
W5947,GF,21.422230,39.851690
W2633,GF,21.424583,39.796173
W2854,RT,21.567573,39.158536
W2846,RT,21.604273,39.148903
W3138,RT,21.481697,39.819778
W2396,RT,21.356296,39.787123
W2389,GF,21.494910,39.965720
W4217,GF,21.904700,42.029700
W2771,GF,18.444070,41.459210
W3090,GF,19.440782,41.832397
W5413,GF,20.139100,41.069200
W5551,GF,21.401201,39.705547
W2376,RT,21.386100,39.871700
W2688,GF,21.427042,39.856320
W2496,RT,21.457556,39.814793
W2809,RT,21.594383,39.190400
W4026,RT,21.398682,39.864450
W6393,RT,21.280855,40.446883
W4666,IBS,21.523700,39.152600
W3643,RT,21.446610,39.829120
W2658,GF,21.406043,39.818655
W6337,GF,21.550272,39.798627
W2675,GF,21.423267,39.806457
W5596,RT,21.433303,39.803465
W3359,RT,21.432938,39.808877
W2336,RT,21.598300,39.172000
W2308,RT,21.614635,39.160481
W3914,RT,21.062770,40.321717
W3887,GF,21.077513,40.321327
W4840,GF,19.340610,42.055403
W6457,RT,21.279433,40.441062
W2090,RT,21.437835,39.832101
W3654,GF,21.563858,39.805586
W2355,RT,21.442223,39.804326
W6037,IBS,21.441900,39.807000
W2181,RT,21.538576,39.197315
W4655,GF,21.207755,39.181610
W2359,Dismantled,#N/A,#N/A
W2766,GF,19.115000,41.142000
W5487,GF,21.351293,40.249295
W5962,GF,21.467735,39.800337
W2084,RT,21.468510,39.798271
W3358,RT,21.434851,39.812618
W4531,GF,21.216042,39.177297
W2124,RT,21.547566,39.177700
W2119,RT,21.560803,39.203075
W5722,GF,21.679065,39.123373
W5533,RT,21.465027,39.861240
W3789,GF,21.535100,39.973100
W6301,GF,22.704135,39.148007
W3858,RT,21.438600,39.816900
W3608,RT,21.389962,39.867656
W2447,GF,21.390130,39.707446
W2528,GF,21.646436,40.406553
W3655,GF,21.473032,39.851893
W5422,GF,19.445958,41.253625
W4895,GF,19.901200,41.438900
W2346,GF,20.677455,39.534778
W5707,GF,20.686100,39.529600
W6454,GF,21.528222,40.018380
W5308,GF,21.615300,39.700000
W6545,IBS,21.360400,39.914200
W6267,RT,21.430325,39.839163
W2098,RT,21.489800,39.797100
W2110,RT,21.567687,39.170458
W2107,RT,21.576606,39.169295
W2770,GF,18.602607,41.420457
W3220,GF,19.894100,41.424900
W4028,RT,21.412160,39.865725
W5626,RT,21.399458,39.866951
W6506,GF,21.459928,39.904150
W2680,WM,21.408727,39.826480
W5317,GF,19.143992,41.080580
W4871,GF,19.893637,41.578187
W5952,GF,21.398113,39.870818
W5513,GF,21.387378,39.877738
W3854,RT,21.390200,39.881400
W4048,GF,21.422618,39.828320
W5553,RT/IBS,21.421370,39.828847
W4049,GF,21.421985,39.831303
W5702,GF,21.517150,40.040893
W6579,GF,21.563245,39.238337
W4160,GF,22.713138,39.109401
W5321,GF,22.036900,41.816700
W2754,GF,20.669222,39.769250
W2982,IBS,21.421900,39.828600
W2636,WM,21.421475,39.846313
W3524,RT,21.556272,39.159422
W5946,GF,21.422172,39.847917
W4096,RT,21.420888,39.827237
W4399,RT,21.603930,39.189615
W6427,RT,21.792807,39.147608
W3234,GF,19.836900,41.586700
W5574,RT,21.538062,39.784490
W4299,GF,20.164745,41.289347
W4997,GF,20.180053,41.264135
W4044,RT,21.412565,39.869338
W5506,RT,21.399366,39.873490
W3830,RT,21.404876,39.878981
W4029,RT,21.414238,39.870105
W2083,GF,21.528106,39.788986
W2260,RT,21.588320,39.162548
W4373,IBS,21.382000,39.880200
W6482,RT,21.410260,39.863433
W2774,GF,21.615583,40.447385
W5991,GF,21.630353,40.424167
W2741,GF,21.160700,40.767000
W2927,IBS,21.488500,39.182000
W3774,RT,21.520070,39.258723
W2066,GF,23.106068,38.833832
W2928,IBS,21.488500,39.182000
W6300,GF,21.602790,39.521970
W3623,RT,21.355541,39.819416
W3558,RT,21.566670,39.181683
W4865,RT,20.010780,41.456570
W3213,GF,20.017797,41.428612
W5818,GF,21.651427,39.241846
W5803,RT,21.612458,39.169162
W0024,GF,#N/A,#N/A
W2755,GF,20.525700,39.860100
W6239,RT,21.416060,39.854895
W2086,RT,21.394515,39.876738
W4008,RT,21.395858,39.875473
W3086,IBS,21.282650,39.824482
W6338,GF,21.454388,39.825267
W2975,IBS,21.519700,39.153200
W4382,IBS,21.390900,39.884300
W2970,IBS,21.500600,39.167800
W9008,RT,21.528172,39.793693
W6308,GF,21.571480,39.587420
W2188,RT,21.567420,39.190500
W2008,RT,21.574423,39.165065
W6144,RT,21.783633,39.060308
W2998,IBS,21.599500,39.143300
W3853,RT,22.795343,39.030600
W3690,GF,22.818730,39.025598
W1078,GF,21.080100,40.350300
W2796,GF,22.206200,39.771830
W5431,GF,22.086944,40.024111
W5653,GF,18.947440,41.349033
W4968,GF,20.095300,41.583600
W4969,GF,20.147900,41.623600
W2570,GF,21.244362,40.447372
W6255,RT,21.398900,39.864400
W4013,RT,21.395200,39.880300
W2936,Dismantled,2002.000000,2002.000000
W4387,IBS,21.413500,39.869300
W6365,GF,21.473282,39.167748
W3932,RT,21.526366,39.793320
W5620,RT,21.393611,39.883525
W4239,GF,21.654896,39.123586
W3252,RT,21.777662,39.216160
W6424,RT,21.779860,39.077507
W4844,RT,21.802683,39.064836
W3803,Dismantled,2233.000000,2233.000000
W2735,GF,22.570100,39.158000
W2958,IBS,21.451000,39.208600
W2939,IBS,21.515300,39.167600
W1807,GF,20.007328,41.452942
W5411,GF,20.298200,40.987900
W4033,RT,21.389761,39.876148
W5508,GF,21.394022,39.872287
W4095,RT,21.425370,39.806673
W4559,GF,21.463185,39.177408
W4074,RT,21.421448,39.824093
W4127,RT,21.654363,39.129635
W4238,GF,21.752282,39.134798
W3109,GF,21.864523,39.189340
W4534,RT,21.475905,39.794078
W4342,RT,21.423620,39.807365
W3184,RT,21.976710,39.369070
W2537,GF,21.074500,40.311200
W3384,RT,21.397915,39.877530
W2643,GF,21.401228,39.879358
W2428,RT,21.384383,39.864688
W5964,GF,21.389840,39.859250
W6316,RT,21.592251,39.251971
W2785,GF,21.627900,40.200400
W4810,RT,21.757400,39.104940
W6554,GF,21.472572,39.888253
W3561,GF,21.654010,39.135218
W4233,Dismantled,#N/A,#N/A
W5410,GF,20.340900,40.876800
W4340,GF,21.575700,39.766083
W3819,RT,21.353103,40.456010
W4211,GF,21.396028,40.587740
W6517,RT,21.398563,39.871152
W5764,RT,21.542786,39.201550
W2097,RT,21.405505,39.874706
W5949,GF,21.405360,39.875507
W2382,RT,21.450400,39.808200
W3079,IBS,21.423200,39.827700
W4354,GF,21.540610,39.164235
W4618,RT,21.618078,39.213603
W5862,RT,21.619515,39.210152
W3795,RT,21.625225,39.133400
W4822,RT,21.877423,39.173750
W2685,GF,21.406545,39.870667
W5934,GF,21.418040,39.854018
W3610,RT,21.402143,39.870232
W2478,RT,21.405300,39.869300
W6036,IBS,21.551800,39.163400
W5472,GF,21.802000,40.550800
W5461,GF,21.855800,40.487800
W3871,RT,21.586480,39.246618
W4410,GF,21.915498,39.120640
W5409,GF,20.362950,40.938593
W2646,GF,21.411957,39.865897
W5510,GF,21.414840,39.866580
W3793,RT,21.390600,39.438000
W2384,GF,21.469793,39.827602
W2682,GF,21.402200,39.872445
W6211,GF,21.423998,39.347990
W3626,RT,21.440112,39.824322
W3518,RT,21.576963,39.250425
W4685,RT,21.578320,39.246200
W2527,GF,21.632025,40.251662
W2929,IBS,21.672500,39.132900
W5681,GF,22.801632,39.070362
W5682,GF,22.805698,39.045870
W2642,GF,21.403925,39.874953
W2969,IBS,21.616300,39.153300
W2645,GF,21.416408,39.860847
W2609,GF,21.419872,39.858492
W6504,RT,21.409020,39.866110
W5954,GF,21.409952,39.867637
W2234,GF,21.425862,39.311928
W2215,RT,21.622260,39.179653
W3020,IBS,21.659500,39.188830
W5401,GF,21.737660,39.108668
W5450,GF,22.791718,39.042608
W5556,GF,21.398815,39.375195
W3852,GF,21.838332,39.523637
